Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
27,13.579110867071906,1.2324982087337877,340.4,356.13,1.01,0.71,339.23,354.22,5.25,11.61,5592.07872515166
76,6.175046100016814,0.81772343431184,345.63,347.25,0.52,0.63,346.18,345.83,3.12,7.97,9454.723901496935
124,15.189793451897797,0.2761763270268176,339.26,363.03,0.21,0.18,339.72,363.51,1.99,1.86,8308.461164722821
34,14.52656543545813,1.6418224340549212,339.73,348.67,1.15,1.17,315.59,345.61,125.81,17.48,7754.809167766409
28,0.5336051991406844,1.3265840224118635,350.38,344.02,0.48,1.24,381.85,332.83,116.28,40.98,9787.523648941353
234,10.573169408637408,1.5379086526544494,357.48,325.5,1.1,1.08,357.25,324.25,1.57,3.35,10215.407999960491
130,8.56814429720363,1.9746072240600285,356.06,339.73,1.51,1.27,354.92,339.99,13.66,9.14,7984.863569992482
106,11.573061631706118,0.1380060522236593,341.82,340.83,0.12,0.06,342.64,339.96,2.42,2.76,10170.071756982936
31,6.360341959497626,1.7744672293481183,345.5,339.69,1.38,1.12,342.49,337.79,10.15,5.8,6177.80694436808
482,19.061838928264205,1.9446797760173218,363.48,357.52,1.54,1.19,363.36,357.76,13.85,7.88,6525.595380652942
107,54.731742098436456,0.9406553578250979,388.7,350.42,0.87,0.37,388.37,350.12,1.25,0.64,8318.788615717633
192,17.071871185951597,0.8683055027616638,337.93,332.68,0.62,0.61,334.41,332.98,11.49,3.09,7615.190963033182
186,1.5946442345602996,1.8512019306326921,348.87,354.44,1.45,1.15,337.33,351.26,45.29,51.81,8374.580657323313
191,93.5106299373452,1.996949690024101,416.12,390.39,1.75,0.97,416.6,391.32,3.25,3.44,7611.0567949267415
489,7.0569210853008135,1.8447973386346312,354.99,387.9,1.14,1.45,357.52,394.84,8.84,32.76,6987.731827553191
63,22.176984098291896,1.586241277925184,334.32,334.74,0.72,1.41,334.23,334.53,2.3,4.36,4360.215379367548
88,7.079973845563418,1.0476201837411205,355.01,357.74,0.79,0.69,352.78,358.18,5.67,3.8,6641.0187219124755
143,5.05816637364999,0.7187208675509655,346.42,353.38,0.67,0.27,346.11,353.22,1.89,1.53,9036.66678216135
118,1.1657010061956166,0.13785933575303216,349.18,352.21,0.08,0.11,349.1,351.82,0.95,1.12,6181.09301118274
21,38.396728268758416,1.468045445027222,322.85,334.57,1.36,0.54,321.88,335.93,5.18,8.85,7332.957294858901
144,20.95153644459115,1.2120768575262766,364.81,330.73,0.83,0.89,365.17,330.6,1.76,1.26,11554.110718067368
36,7.194545888699433,1.280690254464439,355.09,351.51,0.92,0.89,355.23,351.13,2.93,1.69,7076.913612924844
155,1.005188420271544,1.616577250475564,349.29,354.32,1.15,1.13,349.19,353.91,3.1,2.06,10337.298696360005
86,5.502306210976059,1.8466534937394892,353.89,355.47,1.03,1.53,354.81,355.88,2.17,3.32,7333.890904349832
416,16.650703981134264,1.6634036009344972,361.77,341.0,1.42,0.87,355.51,338.35,74.8,49.46,10557.295755062962
73,27.082778070886906,1.6592704186664236,369.15,348.56,1.51,0.7,367.79,349.05,8.53,3.79,7581.054707560761
345,0.12042823724888035,0.6337039708003567,350.09,346.59,0.44,0.45,338.19,390.49,80.88,81.4,5736.530549345215
184,10.31824698650847,0.7311174476801474,342.7,348.6,0.71,0.19,341.91,348.84,1.56,1.76,8389.701569372193
232,14.105993674785053,1.5040594159832315,359.97,366.06,1.09,1.04,361.52,365.17,3.66,2.53,10793.041566964548
155,7.936378805748211,1.3684308959382434,355.61,349.92,0.54,1.26,355.51,348.78,9.23,8.6,9745.693321955538
145,2.269916336953535,1.1112089347181537,348.39,341.26,0.64,0.91,348.28,342.02,2.4,3.87,11465.086155209372
79,60.080499664607906,1.6686464280076607,307.52,336.05,1.56,0.6,307.65,336.12,6.03,2.77,8240.00097902719
165,3.8684165495769784,1.728611873469685,352.74,342.88,1.07,1.35,352.26,342.47,3.37,7.15,6181.532680520915
180,31.190305434122006,1.1242786503470994,327.95,362.48,0.82,0.77,326.25,362.09,9.82,6.55,8285.790617063787
90,1.5593118477581271,0.6986840054350105,351.1,345.41,0.39,0.58,350.93,345.38,1.56,2.76,4885.8454719112815
153,8.655206099204536,1.7651032680240053,343.88,350.46,1.59,0.76,340.22,351.9,11.04,6.73,11039.123273452222
14,11.618477498805492,1.7428916636147307,358.22,360.89,0.33,1.71,353.88,358.18,11.3,18.08,4886.168047595827
76,8.80619582267029,1.8029949402020173,343.77,341.63,1.09,1.44,342.69,344.28,11.89,8.58,10173.498195333324
21,43.30383720363953,1.2084221475797927,319.38,367.96,1.02,0.65,319.65,367.74,4.31,1.3,10580.044068592957
184,3.207447478879321,1.1796358846019908,352.27,347.87,0.58,1.03,352.33,347.96,4.87,3.58,10515.234853200713
143,13.489227122750414,1.9495758588288084,359.54,356.57,1.75,0.85,360.51,355.23,4.53,6.51,8290.509408448806
57,19.883304929244,1.7951539717717753,364.06,348.12,0.94,1.53,363.94,344.92,4.32,16.64,11402.699331041107
41,2.06629787570884,0.7052549589885452,348.54,340.85,0.39,0.59,347.77,341.0,2.07,1.92,11037.078923907611
269,5.959098884422049,0.7359836658692909,345.79,344.83,0.61,0.41,351.01,362.51,27.12,101.44,5307.327169876825
91,7.697310195123091,1.954690022884866,344.56,354.02,0.63,1.85,345.25,351.69,17.2,20.64,8890.431297768666
775,5.229411776011121,1.401233859021236,353.7,343.5,0.64,1.25,356.35,342.7,12.06,10.27,11316.582738063209
117,4.728279100495922,1.1117645282543813,353.34,347.06,0.95,0.57,353.38,346.23,2.85,2.84,7646.090016628696
244,1.5586714587263881,0.4865216996370417,351.1,352.12,0.38,0.3,351.46,352.21,1.39,0.74,7025.3149681367595
345,15.861653504032756,0.31516658605508024,338.78,353.04,0.25,0.19,339.11,356.72,2.17,19.74,5227.901693612505
118,2.777294475449708,1.4052011732577803,348.04,344.36,1.26,0.63,350.0,341.7,5.76,9.69,8999.370864574299
100,7.432127345680318,1.1229116222556625,355.26,353.68,0.58,0.96,356.45,353.37,4.09,2.24,8071.108669157471
162,6.710401145028755,1.9263990214732687,354.74,362.37,0.54,1.85,355.17,362.36,3.71,3.97,6932.659536953725
164,8.820058828993742,1.9563528850169967,356.24,340.06,1.55,1.19,356.04,338.9,2.52,5.45,8715.21992169917
68,1.1170714482074,0.9076774765705805,350.79,355.6,0.79,0.45,349.85,357.5,7.49,9.19,9785.153974704439
29,0.13230872189486542,1.7415899814054818,349.91,351.5,1.28,1.18,349.56,349.09,14.9,26.0,5402.147787522119
109,2.0182552089359267,1.9472312448815718,348.57,355.78,1.57,1.15,349.57,356.68,6.25,6.72,9685.091497076053
129,5.217229259927551,1.8418195736469243,346.31,356.66,1.4,1.19,355.97,348.48,34.11,34.5,10724.176644041356
57,7.215321776704807,1.3835930312493487,344.9,347.61,1.3,0.48,344.79,347.16,4.62,1.24,5722.432367866091
201,12.848186274145156,1.8037004344937961,359.09,356.95,1.56,0.91,359.36,357.87,2.74,13.51,10877.173220893528
51,25.322615544102273,1.8608007658415575,332.09,350.98,1.46,1.15,322.54,350.8,51.87,5.62,8278.096173790116
234,12.242843369655418,1.8905666013550577,358.66,349.4,1.84,0.43,361.14,348.44,5.93,12.56,10835.892880784204
68,0.11837353665104736,1.3326943442104588,349.92,345.47,0.96,0.92,350.38,345.63,2.67,1.39,9714.95631628748
228,0.45833257418891377,1.9476918136219312,349.68,368.28,1.58,1.13,348.89,367.98,2.78,2.36,6572.253007224515
121,8.217331840615202,1.4662552257798234,344.19,347.77,1.15,0.91,348.06,349.33,6.57,6.48,11996.34947825403
303,20.989260596720634,0.9858685295875224,364.84,350.07,0.9,0.4,365.23,348.42,1.74,2.78,10469.662410309862
90,0.6823331081029873,1.852769553093916,350.48,356.95,1.3,1.32,352.0,357.37,4.61,4.48,8853.638093240519
59,2.150606679223536,1.767380620675459,351.52,349.36,1.71,0.44,360.15,350.14,29.35,3.74,5761.133884450944
31,106.50548106906496,0.2522329985706091,425.31,367.84,0.18,0.18,424.96,367.67,1.32,1.1,8372.892139156964
128,6.5499577870338905,1.3264009586984449,354.63,358.8,0.43,1.25,354.64,358.2,2.66,3.09,6890.27186726566
