Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
685,22.787712371922602,1.6178971773430455,366.11,355.39,1.06,1.22,365.24,354.6,16.92,21.48,8242.310281229524,2740
19,21.068079611797735,1.3141964562687727,364.9,342.95,0.76,1.07,363.72,342.97,4.22,5.73,6246.795484951408,76
348,28.73578755341262,1.1158304973071653,370.32,337.41,0.75,0.82,379.98,332.67,38.1,20.76,9118.4115990001,1392
925,5.025724094878664,1.9404247885145227,346.45,326.32,1.57,1.14,348.37,325.75,24.64,38.88,7893.980746133326,3700
58,11.195769557591886,1.1101834574280702,342.08,346.32,1.08,0.25,340.62,344.53,6.36,7.0,4905.070295098705,232
99,7.378441259630261,1.7131745726776515,344.78,353.51,1.41,0.97,343.23,353.38,10.5,5.95,9975.068270976193,396
94,43.645301301883585,1.8402180854338075,380.86,357.06,1.58,0.95,384.87,357.04,16.07,1.6,7863.335298172053,376
1000,32.226487291884105,13.482722353529505,372.79,359.54,12.55,4.93,364.53,355.23,22.29,16.28,10481.780334355128,4000
81,0.19147569306801115,0.870172721601074,349.86,344.48,0.46,0.74,349.69,344.75,2.5,1.62,9699.158718525972,324
59,7.306638527756553,1.9892186598440311,355.17,364.52,1.81,0.82,355.85,358.85,40.27,55.99,9770.533929601033,236
323,19.687740822546758,1.1400395873420905,336.08,360.83,0.86,0.75,325.09,347.55,27.01,83.53,9141.10733104173,1292
50,2.3749675128260663,0.46564512019661053,351.68,362.07,0.35,0.31,350.58,361.64,5.3,9.7,6835.188229100139,200
176,19.967785284275397,1.9067456956629698,335.88,350.32,1.81,0.59,336.83,347.86,7.8,4.81,8539.706599445366,704
91,23.386557717168916,1.7531979885478217,333.46,355.7,1.55,0.82,333.43,356.0,2.57,1.78,10962.167014475326,364
206,62.39184598882428,1.8154052966276875,394.12,328.07,1.23,1.34,394.39,332.8,6.09,13.36,9025.549215748517,824
95,2.5650876789760653,1.3772091229702303,348.19,355.71,0.7,1.18,348.06,356.09,1.63,3.68,8421.207437458917,380
232,0.14713056187594561,1.746084835449014,349.9,361.91,0.69,1.6,351.73,364.74,12.11,14.38,10077.774656716789,928
70,20.20921554448055,0.6609147775154248,364.29,355.0,0.36,0.55,364.16,354.52,1.16,2.45,7657.719515750825,280
74,19.681515049560943,1.5539234496665257,336.08,344.83,0.85,1.3,336.35,344.95,1.33,2.06,9003.251626726638,296
42,12.185741937323863,1.6808300098245497,358.62,346.96,1.0,1.35,358.47,346.71,3.36,1.89,7082.8410675613195,168
471,21.03428980855154,1.6509073226421145,364.87,353.72,1.26,1.06,362.96,349.78,5.92,9.86,7402.277974116974,1884
23,47.36766914384283,1.7724770597822512,383.49,361.12,1.74,0.34,383.42,362.2,4.07,7.65,4193.994365017544,92
89,12.993984256734,0.5945847167669115,359.19,369.35,0.27,0.53,360.25,369.09,8.26,6.61,11351.960642524558,356
140,1.4691892201148888,1.4619931149478262,351.04,342.07,1.29,0.7,355.82,341.43,13.75,14.15,10130.509648787864,560
