Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
130,38.245768740165765,1.4443039988405981,377.04,360.51,0.91,1.12,376.05,360.73,4.44,2.01,8836.009631314642
182,36.28737175381601,0.316305361500664,375.66,358.46,0.25,0.19,376.55,358.74,1.7,2.0,8738.73246274519
71,4.952171918399853,1.5597591280677119,346.5,341.16,0.93,1.25,346.21,341.4,4.68,4.0,6767.933074156768
151,2.9049515594644553,1.3285638357681289,347.95,351.76,0.71,1.12,351.76,355.26,30.85,26.5,8183.021785329104
471,9.380288624769856,1.2252381188787778,343.37,345.97,0.58,1.08,344.69,345.75,5.55,3.26,8559.316550615984
386,10.08471685951232,0.6329212432876035,357.13,351.57,0.32,0.54,356.94,350.88,1.43,3.76,9217.912366641263
83,24.89693109152239,1.4915642250532823,332.4,360.72,1.19,0.9,298.19,329.62,131.91,108.79,6792.455295377149
74,4.086718508140679,1.6765097979510881,347.11,342.71,1.51,0.72,346.24,342.15,6.92,3.84,6978.554400932166
26,28.86246199338933,1.7109651292091657,329.59,339.17,1.32,1.09,329.94,339.09,3.08,1.37,5231.500168693463
163,8.251932639373063,1.8664207930918704,344.17,359.23,1.19,1.44,356.06,331.6,38.35,54.28,11889.268684188382
214,4.701216194169809,1.7936098744784643,353.32,345.34,1.4,1.12,352.65,345.59,4.77,2.6,7183.466389488092
257,7.568527170229509,0.817396575093898,344.65,354.63,0.37,0.73,356.96,346.65,64.49,38.37,7381.397876233409
116,5.03134735427636,1.7194227890751732,346.44,334.19,1.46,0.91,347.69,334.27,4.97,3.03,5257.928409566046
5,24.084773206749585,1.8225649093064522,332.97,337.47,1.62,0.83,327.12,325.89,21.41,40.46,9683.79467135999
78,9.863402118380394,1.187480356475689,356.97,349.87,1.04,0.57,356.83,349.79,3.35,1.27,9952.93920472985
339,8.129126118771413,1.3961733888410885,355.75,344.2,0.81,1.13,356.02,343.76,2.12,3.28,6305.775705800287
160,16.590311707934028,1.5491423091098802,338.27,347.5,1.51,0.32,340.55,347.65,14.45,2.29,6670.840937755297
334,12.939420459669389,1.2933898429178776,359.15,352.64,1.19,0.5,359.74,353.39,1.41,3.27,7699.074463686113
2,11.607290503895134,1.790665988524553,358.21,351.89,1.14,1.38,359.06,354.6,18.33,8.62,3267.70794410425
49,37.44653878490954,0.7607817557377337,376.48,356.1,0.59,0.48,376.53,355.97,2.43,1.91,8534.752555439918
302,54.66227174603063,1.0258820291975852,311.35,338.86,0.93,0.43,312.25,338.66,40.77,7.82,6786.735060834524
87,10.497781961879525,1.8057782043466808,342.58,307.43,0.88,1.58,343.83,309.91,4.4,5.24,7521.152424905437
216,10.461053325642759,1.8276751322608107,357.4,353.93,1.71,0.64,358.55,357.58,5.07,9.6,5273.194814325706
69,35.457109320330225,1.4982536620741465,324.93,328.45,1.03,1.09,339.89,339.76,96.7,67.38,4727.413759918283
93,8.999643468987392,0.9438588203456428,356.36,341.94,0.29,0.9,358.32,338.82,7.24,17.24,6613.613476373969
121,63.992844364023036,1.1268976642393176,395.25,371.19,0.88,0.7,393.92,371.33,5.32,3.78,5136.9609412172085
189,11.091334469978184,1.347096909925823,342.16,355.42,0.76,1.11,322.29,356.62,101.31,3.33,10829.712414507105
127,9.600182380394106,1.4215531717362966,343.21,332.01,0.89,1.11,343.22,330.87,1.61,3.71,7936.796915858879
138,12.033420906982782,0.5244065702388704,358.51,342.17,0.49,0.18,358.6,342.14,0.75,0.54,8020.134520188905
38,29.380294523106382,1.9394099874977906,329.22,360.02,1.71,0.92,327.1,358.41,7.0,10.11,5275.760184935416
459,16.747960884341985,1.7265854775125828,361.84,336.96,0.5,1.65,360.29,338.36,10.61,4.31,8221.715829482697
234,16.426739956785426,1.6089670470643327,361.62,362.87,1.03,1.24,359.63,360.82,7.48,10.04,4822.361430416944
338,11.9306671855808,1.6875339631169337,341.56,341.05,0.93,1.41,347.35,359.7,17.61,60.2,10400.02098585529
138,19.197902295752403,1.3869962930535973,363.57,322.62,1.06,0.89,363.11,320.77,3.56,6.91,9987.320988768472
221,26.851264756488572,1.9062352341478694,331.01,356.69,1.42,1.28,330.71,355.99,10.42,11.28,10127.251735515947
249,0.4196398537856304,0.9958625693470624,350.3,341.68,0.24,0.97,350.08,342.2,0.55,1.19,12179.345165286828
601,29.295165564702394,0.17682681625419439,329.29,330.6,0.1,0.15,329.37,330.75,0.37,0.54,10876.574460783711
66,19.743757542557837,0.28932659058923055,336.04,350.93,0.28,0.06,336.28,350.96,1.88,0.36,7366.591281952992
45,9.61447065518664,1.9800894987556426,343.2,346.88,1.12,1.64,343.18,346.81,3.1,1.7,6422.166623918171
72,18.548663308652205,1.8660896690677375,336.88,348.82,1.67,0.83,341.82,350.8,92.46,42.28,5647.952004960406
228,1.3660027549841316,0.47103045835350366,349.03,347.24,0.38,0.28,348.95,347.31,0.99,1.21,6113.310477103021
25,8.330995585382682,0.3734753981205113,355.89,359.16,0.3,0.22,359.62,361.89,26.39,18.84,6414.794940034848
