Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
19,1.2352869100628054,1.869949576449484,350.87,371.09,1.45,1.18,353.25,372.56,7.74,5.03,4282.17526198974,51.0
138,3.1794183097714614,1.7329506440109281,347.75,343.84,1.37,1.06,347.97,343.52,5.75,2.28,10059.973330835157,-39.5
30,2.961485156789161,0.2731552304144114,352.09,347.16,0.13,0.24,352.57,347.0,2.02,1.31,7194.952987616723,5.5
22,10.61740093882637,1.2408374610866117,357.51,352.75,0.37,1.19,360.93,354.27,12.74,4.78,7227.224747210579,17.5
391,7.780536514185599,1.938755128036677,355.5,344.7,1.23,1.5,373.61,352.54,123.68,29.61,10473.220592792624,-384.5
55,28.412609934392343,1.1246281320459734,329.91,339.56,0.8,0.79,328.6,337.71,3.6,4.82,6029.567450968814,132.5
72,22.240880732903815,1.4844155594179433,365.73,364.67,1.2,0.88,360.62,364.54,17.74,6.93,5982.90124677653,43.0
36,2.7561365673193605,1.685107214271062,348.05,348.03,1.08,1.29,348.45,345.77,6.38,7.63,7509.614626267854,13.0
49,79.4633344708042,1.3053264918123817,293.81,313.7,1.17,0.59,291.66,312.51,10.21,5.61,5538.724846154997,53.0
310,72.45649882094729,1.7657126464634774,298.77,363.68,1.54,0.86,298.62,372.94,3.63,45.9,11066.709831597936,132.5
20,26.11019554064913,0.6503444399792798,368.46,386.08,0.51,0.41,368.45,385.93,1.78,1.39,6280.940709064401,33.0
70,25.03203315309456,1.9092864522440431,367.7,341.96,1.02,1.61,372.03,344.41,12.65,6.2,7481.568142072343,-3.5
45,0.8094140356510796,1.9521891624179941,349.43,361.54,1.6,1.12,352.26,367.3,9.56,20.22,4283.766652441851,35.5
62,19.907971167932658,0.9648668972454562,335.92,335.14,0.62,0.74,336.44,336.81,3.52,4.97,4971.678637074349,33.5
48,5.53319543322674,1.8439371401775657,346.09,356.34,0.62,1.74,346.36,358.77,10.51,4.88,9905.406084673707,38.0
18,16.17029304983798,1.0910875502004582,338.57,351.84,1.0,0.45,338.53,351.05,1.89,4.41,7658.2726149583,4.0
74,29.055984788267903,1.3677140572190762,329.45,308.05,0.54,1.26,329.0,307.91,2.54,5.87,11499.686237360187,76.0
43,11.317819873746915,0.833374004725618,358.0,349.98,0.54,0.63,357.46,350.02,1.23,1.75,3810.4098747242497,181.0
15,235.07375126810936,1.3415094496480922,516.22,465.44,1.09,0.78,516.23,465.54,3.39,2.1,6389.387996005919,34.5
236,4.145332661383012,1.0590086999131105,352.93,355.4,0.54,0.91,351.86,354.65,5.98,2.95,9502.618282411342,159.5
75,11.622487533216848,0.7387406959404522,341.78,346.04,0.38,0.63,342.04,346.1,2.5,2.03,7643.932459069928,-19.5
166,12.394229652157936,0.9283163595815918,341.24,337.92,0.74,0.56,338.71,337.15,14.91,4.01,5481.826063738007,182.5
7,1.8434349884968515,1.6668486771331867,348.7,351.52,1.41,0.89,394.3,406.87,241.42,296.85,6132.757812676078,-4.0
149,7.697144496612351,0.37728710543771826,344.56,350.15,0.15,0.35,344.25,350.12,0.64,0.44,6392.0519135477825,222.0
32,0.23413389008492924,1.796494188905106,349.83,355.25,1.37,1.16,351.87,355.93,5.14,3.0,4434.508791041351,74.0
