Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
317,17.830076116171405,1.998876661494724,362.61,350.06,1.42,1.41,363.11,350.25,5.35,4.4,6873.011387506049,262.0
39,4.172725801392197,1.3067650297531344,352.95,370.02,0.95,0.9,352.52,371.24,5.34,5.53,9465.397404833431,84.0
64,0.9693672247330144,1.9976309084181139,350.69,344.38,1.65,1.12,351.41,345.54,4.5,3.75,8397.972983700536,21.0
33,10.664173431632664,1.1703728259508515,357.54,374.28,0.82,0.84,357.05,372.58,1.95,3.92,7274.973986951507,86.0
238,15.0178325393319,1.4107225203311797,339.38,354.71,1.35,0.39,398.81,353.22,359.27,11.05,7111.10050256082,545.0
40,3.1376783095361978,1.648950638675335,352.22,358.01,0.7,1.49,363.23,331.47,70.69,124.84,4532.22447842611,69.0
377,18.219704341951534,1.8228308063958403,362.88,334.16,1.66,0.75,363.74,336.84,5.42,9.2,9288.214153799654,-185.0
71,1.3028685385459255,1.3006666732503804,350.92,356.89,0.74,1.07,349.82,356.96,5.21,3.93,7673.561502326915,108.0
95,8.349381421625226,0.7114379981905915,355.9,339.47,0.26,0.66,355.32,341.6,2.14,3.84,7097.748252301122,131.0
49,9.317137450098969,1.6436301824923394,356.59,351.05,0.77,1.45,356.93,350.93,3.86,5.48,5399.700898604282,85.0
75,1.3686303766465426,1.0371775535464018,350.97,351.13,0.57,0.86,349.97,351.07,3.18,1.67,7154.902441000066,135.0
96,7.279336990233406,1.2887371057512946,355.15,352.81,0.8,1.01,355.59,352.24,6.96,7.71,6232.345414326218,227.0
49,59.45338871110562,1.9738608467967993,307.96,330.61,1.9,0.52,324.56,336.16,111.34,57.56,6492.363390874581,51.0
74,22.827661583486567,0.9875257594400899,333.86,343.09,0.93,0.34,333.61,342.5,1.94,4.34,10102.982729120675,10.0
83,5.3545433922706716,1.8531068332876475,346.21,345.42,1.72,0.69,344.93,345.74,3.37,8.37,4611.293530368835,245.0
151,6.6561028556389585,1.553234116596232,354.71,355.56,1.07,1.12,348.12,355.8,19.14,3.37,8496.52110983932,113.0
