Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
200,7.237683437429607,1.2791781644759028,355.12,362.28,0.46,1.2,356.76,363.6,4.68,5.81,12468.349879313644
70,3.2383140162328656,1.5669366685316364,347.71,331.46,0.41,1.51,348.77,331.96,8.72,2.25,7239.720723800283
103,14.395056181828984,0.8592865548011476,360.18,361.57,0.6,0.62,361.02,360.65,2.86,6.6,9898.793454639374
19,7.039433421983599,1.7641002708407678,354.98,338.79,1.37,1.11,355.72,342.42,6.87,40.14,5455.773878990106
64,39.65271878907503,1.9148515427337163,378.04,345.82,1.81,0.62,378.62,345.24,9.51,4.48,5860.188589885371
206,4.282910989181479,1.5229920724141974,353.03,351.41,0.53,1.43,348.14,341.28,26.77,48.45,7359.943477338926
23,51.218957268757116,1.1211302489429273,386.22,369.16,0.53,0.99,387.58,366.98,3.55,7.2,7290.327946304431
101,4.707877977579075,1.843781973728767,353.33,361.45,1.18,1.41,354.79,361.05,7.15,4.2,11909.890420887863
168,19.87901627318426,1.4965758541021417,335.94,357.3,0.66,1.34,335.44,357.19,1.66,1.68,10821.189873835101
68,4.031800887275628,1.2580987942354391,352.85,346.2,0.32,1.22,351.67,347.09,4.34,6.66,7208.430354180299
55,7.699896014935532,1.419374154453822,355.44,342.78,1.22,0.73,356.01,341.58,5.67,6.24,8428.35245067007
46,6.3521659510931165,1.9615913299046808,354.49,362.95,0.21,1.95,356.15,361.57,14.98,4.39,7129.556323507867
79,1.7127067516054106,1.6394577136510289,351.21,346.1,0.7,1.48,349.02,344.37,8.17,7.08,11333.708979311576
86,42.731709556787244,1.0887152545419219,380.22,345.63,0.31,1.04,380.07,341.18,5.07,8.62,11067.537050416726
49,35.58202248978875,1.7958152799588576,324.84,353.6,1.64,0.74,318.91,358.38,17.24,13.79,6412.737931317048
98,4.529027909139907,0.8507825947645418,353.2,357.76,0.44,0.73,353.09,358.43,1.51,1.49,7356.7796692282645
15,5.974893070040555,1.807432891521551,354.22,344.42,0.51,1.73,353.79,343.97,1.99,2.34,8211.1218373772
245,10.840669325093597,1.6255854588231262,357.67,345.75,1.54,0.53,332.56,343.54,78.97,29.85,6783.291144748013
69,3.8779044552181703,1.9465625874011754,347.26,350.75,0.68,1.82,339.47,351.95,38.43,13.3,8445.245737430903
81,5.132668171485042,0.1875608236182416,346.37,345.18,0.14,0.13,346.36,345.29,0.57,0.29,18942.376097118173
22,5.299349334341496,1.5060523423162422,346.25,347.66,1.37,0.63,344.9,347.97,6.99,2.13,8172.917999700167
56,29.796304826775174,1.5343226376559171,371.07,342.06,1.01,1.16,369.98,342.77,2.57,2.91,4797.24951824029
130,1.1922999972802535,1.97351916550289,349.16,351.94,0.97,1.72,349.87,352.55,6.05,2.66,36652.536768034886
209,3.095418527012992,1.366571271551492,347.81,331.31,1.33,0.31,348.18,331.41,2.31,6.47,13410.683510835755
36,13.833020584067004,1.8615793165536054,340.22,353.78,1.31,1.32,357.25,348.56,91.44,24.08,10700.190108936964
56,33.38377167474139,1.8387387126808623,326.39,344.77,1.69,0.73,328.86,346.81,6.83,5.59,6753.754588355607
147,4.147795325852899,0.28403606614081073,352.93,358.46,0.11,0.26,353.45,357.27,1.93,5.38,7362.642052024798
166,9.871956114669912,1.446873598867397,343.02,352.58,0.46,1.37,341.97,353.43,3.41,3.49,11254.454622994457
24,1.211261013587971,1.0722440541883618,349.14,339.04,1.03,0.29,347.0,340.66,17.0,15.38,8904.368147697209
293,20.599621544634157,0.8496704664637328,364.57,353.4,0.83,0.17,364.55,353.28,1.74,0.99,7766.364174801708
74,4.989508298365446,1.1691151024819413,353.53,354.9,0.99,0.62,356.56,357.82,13.28,17.91,6337.022256410129
99,7.723260542005216,1.1842765228294618,344.54,347.15,1.04,0.56,400.99,382.26,168.0,86.37,6459.512828143428
3,83.84993541084164,1.3237870906397011,290.71,326.13,1.3,0.25,292.44,326.89,5.74,2.68,5423.399615527664
60,0.6636258756157223,1.4053999092492386,349.53,350.89,0.29,1.38,347.2,349.6,11.9,10.98,7799.299112748366
74,8.056621838615717,0.3244002917006844,355.7,328.35,0.1,0.31,355.92,329.6,0.97,5.09,9173.264283450446
100,0.2737133986160282,0.9237657972495005,349.81,350.61,0.73,0.57,349.28,350.95,2.42,2.74,8316.120535525652
173,21.826463967355174,1.5801051036410154,365.43,367.12,1.39,0.74,365.93,370.54,16.12,30.77,6308.927511541222
23,5.673088318383062,0.20121388918963068,345.99,345.58,0.09,0.18,347.11,344.85,5.88,4.04,9699.050462151943
35,30.11870461054977,1.6723846063496548,328.7,329.34,1.66,0.24,328.3,328.91,7.35,4.96,7088.399993139501
25,16.864468397418023,0.6448919725174603,361.92,354.17,0.37,0.53,362.8,353.67,4.23,5.17,5998.1201161825065
110,5.557873933615809,1.0176283084946143,353.93,352.0,0.69,0.75,354.75,352.41,2.97,2.89,5160.714873386541
34,6.672386457508204,1.8823815155369628,354.72,351.53,0.81,1.7,353.1,351.65,3.66,1.83,6166.837247855461
74,6.244155346997899,1.834635321472285,345.58,353.37,1.11,1.46,344.4,352.61,3.84,5.01,8590.26272850127
45,5.151199648889884,1.553781145281143,353.64,346.15,1.24,0.93,353.0,346.79,2.94,2.4,7249.779271163751
51,2.331844361721588,0.5031637425696471,351.65,343.24,0.34,0.37,353.45,343.66,4.09,1.48,6924.139190104204
94,10.819953988121894,1.1326810152489297,357.65,355.14,0.95,0.62,347.15,356.62,40.76,6.45,5597.459606178697
37,10.281558612553377,0.9350548240884466,357.27,337.93,0.52,0.78,356.64,338.15,2.12,5.31,8611.967248469848
100,9.878915894115268,1.288734144343055,343.01,355.97,0.48,1.2,342.98,356.37,1.67,1.73,14324.2280414507
29,8.481253060581905,0.8562053994865987,356.0,349.97,0.62,0.59,353.5,353.01,13.57,14.55,8435.752025956379
41,3.166742923638018,0.6264331336786683,347.76,363.3,0.14,0.61,347.74,363.43,0.49,0.66,10991.245564190172
141,9.498352199849117,1.4772751782346039,356.72,357.57,0.35,1.43,357.62,364.52,11.5,19.62,8399.310177511901
124,3.054365865801545,1.7929501354904198,352.16,347.61,0.72,1.64,354.15,347.73,4.53,3.75,8221.65712554218
25,11.176896682279157,1.679290635033823,357.9,358.19,1.47,0.8,360.89,357.87,11.75,2.85,6564.649788233624
51,0.2724156674786549,0.8894439512342189,350.19,329.47,0.21,0.86,352.08,329.33,8.05,2.2,9082.374343029755
95,11.316424070072028,1.798348094641628,358.0,347.16,1.3,1.25,356.9,347.19,4.07,3.39,7928.568791308135
12,3.1900753090046745,1.4900510353998562,352.26,361.79,0.62,1.35,351.68,361.67,4.96,2.3,8356.18050322462
381,5.995621838518031,1.7835425333121084,354.24,359.2,1.49,0.99,356.37,357.89,10.64,7.37,9056.296948227051
135,20.85949002896662,1.63807954896248,364.75,362.66,1.19,1.13,345.48,339.53,57.2,123.4,13675.849164876836
1,98.12694737690305,1.3313207674755194,419.39,466.98,0.97,0.91,418.55,465.84,7.33,6.09,7353.948779912713
4,6.521112713686545,1.198421776792825,345.39,331.22,0.73,0.95,354.7,354.63,56.13,133.36,6736.3800295792635
95,43.21384559350003,0.7331151196156704,319.44,324.19,0.51,0.53,317.77,323.08,9.04,10.02,5599.405471511087
170,1.5297011109806196,1.9117094877347667,351.08,350.75,1.72,0.84,349.15,352.69,6.43,8.89,9170.376474800307
138,17.7436435120394,1.4684350127577164,362.55,349.11,1.17,0.89,359.18,344.11,12.27,17.89,11019.117081222534
155,23.657462795008453,0.20953000772687425,366.73,368.62,0.19,0.09,366.79,368.88,1.45,3.14,15737.328581060934
146,17.241344996033444,1.5540717949881127,337.81,360.64,0.85,1.3,337.2,361.81,1.97,3.88,11073.079060638613
55,22.386097027721366,1.5795995125095863,334.17,340.56,0.84,1.34,329.69,339.56,7.81,2.94,5714.809162325666
83,17.214619942678492,1.4856255981851942,362.17,348.13,1.31,0.71,363.28,347.63,5.9,2.84,6927.6474863249205
50,1.3016321397475623,1.9886822217304945,349.08,353.03,0.58,1.9,349.59,342.43,8.11,32.5,10339.596014468621
112,3.1663562853951612,0.7523384349008618,352.24,356.68,0.22,0.72,356.76,356.08,14.8,4.32,6636.37619808439
56,20.44877438829888,1.0835849582229526,335.54,360.2,0.96,0.5,333.49,359.24,6.58,4.39,5406.180885634495
142,2.0619881149576464,1.7616058807807358,348.54,341.71,1.3,1.19,348.93,337.42,3.02,15.78,7811.75973696762
51,2.649443347273916,1.162027294035346,348.13,344.69,0.25,1.13,349.47,344.31,6.41,2.55,6365.193127969416
80,2.746197509074033,0.9488797435060019,351.94,345.71,0.37,0.87,352.12,345.4,1.13,1.88,9269.774207203745
77,12.58206869592029,1.2474366469480853,341.1,354.83,0.85,0.91,341.35,355.06,2.82,1.43,8385.380118601262
29,8.657876884219904,1.6069539218373203,343.88,350.91,1.37,0.85,345.08,350.28,5.78,2.36,10704.447734232894
81,1.7140655144661139,1.3116837815453402,348.79,341.91,0.6,1.17,348.1,342.27,4.11,3.97,5925.239196243865
139,9.382374589382179,1.8349182634289982,356.63,347.11,1.46,1.11,362.19,345.22,31.01,9.79,6312.925645585319
148,5.7671048150214,1.7327834974684475,354.08,351.75,1.63,0.58,356.09,351.29,11.3,1.37,7980.333404485491
18,15.586959736430584,1.0368747154297986,338.98,339.37,0.74,0.72,393.68,361.86,200.06,80.84,6776.84644359862
135,10.004704345220388,1.1557060945971989,357.07,345.37,0.61,0.98,359.5,340.03,7.75,33.47,7168.195453185752
11,1.516854303450011,0.7363451822292587,351.07,342.25,0.26,0.69,350.98,341.85,1.15,1.9,7228.2823511220995
94,5.59020270079423,1.322024452586906,346.05,352.71,0.45,1.24,345.56,352.45,1.36,2.01,10753.413911532205
291,3.9376580354505233,1.9703718092755202,352.78,373.87,0.7,1.84,352.48,373.62,0.82,2.27,23936.95341261467
161,7.744897435908771,1.773813731691695,355.48,343.78,1.36,1.14,354.77,345.53,4.44,5.24,8536.206845995068
206,6.95713780618428,1.4677806103737414,354.92,350.83,1.25,0.78,355.16,348.92,7.7,13.41,9002.157673619786
60,7.073779314469035,1.1546414384178418,345.0,348.29,0.92,0.7,343.81,348.0,3.42,2.92,5432.10544031479
457,12.784013485065419,1.504911158498004,359.04,354.54,0.2,1.49,358.92,355.48,1.2,2.46,9551.911826240685
58,1.0023244238797273,0.9823060629582085,350.71,348.66,0.34,0.92,350.08,348.49,2.45,1.43,8385.852735188997
93,38.171397448336776,0.9731306624504777,323.01,332.06,0.53,0.82,301.87,326.89,97.48,42.16,10525.450917061888
23,4.386850732244863,0.29266715939209453,353.1,347.02,0.21,0.21,352.97,346.78,2.22,1.04,7583.413458726487
157,12.403690127211771,1.0880840065143424,341.23,340.86,0.52,0.96,341.04,341.07,4.41,4.01,9151.910147515853
122,4.266358254305688,1.2985633258306228,346.98,350.21,1.08,0.73,345.66,347.54,5.17,14.34,7476.627724150991
105,4.656530304723011,1.161889491461116,346.71,354.9,0.73,0.9,346.8,353.79,6.43,7.3,8361.602734291064
113,0.7137497579507297,1.9849138451203177,350.5,355.81,1.7,1.02,351.03,354.65,2.61,5.05,12829.973066270013
35,21.07915015996423,1.6688475266023954,335.09,341.03,1.07,1.28,336.35,340.85,6.01,3.14,5244.305830449477
227,2.203057663171071,1.549817029811475,348.44,350.17,1.15,1.04,348.23,350.54,6.98,2.25,35352.93238230455
223,23.735862650549056,1.9745913339773555,333.22,328.79,1.64,1.1,330.87,332.33,22.5,18.54,4245.177731583709
