Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
146,45.08908420899264,1.3704747779932518,318.12,340.98,0.9,1.04,261.14,317.4,429.28,149.81,16219.469140528608,-72
156,8.667111437765927,1.3486381206816516,356.13,345.12,0.96,0.95,360.74,344.5,17.55,4.57,8405.477075931318,580
126,2.603351149857827,1.710554077207923,348.16,363.19,0.4,1.66,348.0,361.66,5.37,4.14,7482.972387223902,520
93,4.11681142973212,0.6717340652476075,347.09,354.23,0.26,0.62,360.42,353.82,100.19,28.68,7740.378420299102,264
160,10.789800170036488,1.4047634509516589,342.37,344.43,1.18,0.76,342.57,343.6,4.42,4.45,11250.383619863447,64
111,12.71653618326033,1.5730496160678,341.01,350.67,1.49,0.52,341.04,350.98,2.62,2.66,8642.324775885656,332
107,17.780512966746528,1.965785834327782,337.43,347.1,1.27,1.5,336.63,347.2,5.27,2.41,13420.913206176121,-34
389,7.733438657956435,1.7443814134403541,344.53,350.4,0.76,1.57,343.09,347.74,15.9,12.02,8831.674743193671,1274
378,45.10751555288351,0.662611818618871,318.1,355.53,0.66,0.07,317.69,355.72,1.72,0.52,7005.0633102628,898
16,4.816486416200304,1.6971562323460814,346.59,338.39,0.88,1.45,346.6,338.29,2.32,2.12,7642.609313430952,74
78,0.41965408267135396,0.8636859454866765,349.7,344.52,0.53,0.68,349.19,344.17,3.81,3.65,7796.744428706126,78
102,3.2734333853685045,0.729858074760246,352.31,349.55,0.67,0.28,353.3,349.02,1.72,14.76,9374.189463890203,104
188,7.092413124210477,1.6665280139101968,344.98,345.2,1.08,1.27,-1578.3,-2395.53,10172.03,14502.65,10541.104375677218,144
132,17.464477237460713,1.9622113911110661,362.35,375.76,0.88,1.75,363.4,374.82,3.16,5.9,10753.911220864115,62
149,0.3199721816680666,1.794682384185969,350.23,349.76,1.09,1.42,349.27,348.92,5.52,6.09,8509.899942009684,386
284,8.463179903543937,1.920453940227218,355.98,335.8,1.24,1.47,350.99,335.93,14.17,7.36,10309.091662003275,736
74,17.065115868571052,1.7696128266935383,362.07,350.41,0.93,1.51,361.0,351.05,4.24,4.84,10690.043118776326,-2
13,19.066411771823624,1.633754980854388,363.48,365.33,1.48,0.7,364.06,365.31,2.05,1.74,5014.709703756405,60
29,32.431307556163574,0.3990327375928446,372.93,373.33,0.11,0.38,367.99,369.35,10.16,8.33,5972.1065663092195,112
97,3.9356607072642134,1.9287347096707745,347.22,329.97,0.96,1.67,354.39,339.37,39.58,37.16,8827.099429104821,42
21,56.60224830265392,0.6752885300740495,309.98,314.43,0.26,0.62,309.61,314.2,1.09,1.13,5949.223757161453,106
220,1.136226518145875,0.5064779231230755,350.8,354.42,0.43,0.27,350.78,356.13,0.52,6.27,12902.732039845734,28
6,7.76521640386459,1.4593612936692792,355.49,347.25,1.17,0.87,354.57,347.48,9.94,3.45,8482.65209576314,12
42,0.46194996283313045,1.1835044123384009,350.33,357.53,0.55,1.05,346.64,364.34,22.16,32.57,9960.554981930205,48
435,36.09559994529717,1.0016885660715982,375.52,323.52,0.72,0.69,377.81,325.55,19.67,5.35,9488.484729063162,136
206,0.12348976473719281,1.7526796005481475,350.09,345.83,0.74,1.59,350.52,344.99,1.68,6.55,13427.448168843403,-30
343,6.858648884940464,0.6152864049108959,345.15,366.77,0.54,0.29,344.75,366.65,2.72,3.22,11306.625712636871,136
10,12.037488154688702,0.7146584157173641,358.51,359.91,0.57,0.43,362.87,358.93,14.58,5.87,8980.909849006277,52
181,21.333892834973987,1.911911102413557,365.09,355.34,1.75,0.76,365.84,357.93,2.7,7.62,12590.378333472869,-14
126,10.03735903460634,1.821508036302327,342.9,328.9,0.85,1.61,342.34,326.59,3.68,6.53,16451.41704384353,-70
109,6.333283581267679,1.8023311483312232,345.52,347.41,1.72,0.53,333.83,342.8,17.94,15.21,9575.848215495436,74
488,29.08751543768633,1.271064042434103,329.43,343.71,0.94,0.86,331.91,343.67,15.91,3.37,11616.018213881829,-74
45,13.39958494772927,1.5692814885123734,340.53,351.9,0.86,1.31,338.36,349.53,7.32,7.89,12058.02704043694,-2
80,18.423137422128455,1.8671356273173394,363.03,354.72,1.48,1.14,361.45,354.43,5.49,5.74,9781.146978517221,2
