Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved,TotalReward
181,0.7928807213383621,0.9262183050993378,349.44,343.7,0.53,0.76,351.35,346.03,21.03,6.54,5601.2402859341755,-362
1000,198.65533478629789,516.1494532557291,490.47,520.87,283.46,431.34,-392.71,-1225.68,5891.69,10209.86,15357.29184088919,-2000
79,1.161387068924284,1.572320013706556,350.82,342.05,0.98,1.23,321.09,355.89,112.74,48.29,8230.98434666035,-158
49,27.28321228827314,1.91277504730845,369.29,322.48,1.43,1.27,369.89,321.83,7.71,4.38,5276.73561883919,-98
645,1.0623937278040132,1.1048616363194868,350.75,379.2,0.84,0.72,354.96,377.25,16.25,39.73,6607.195082399199,-1290
139,13.89003590377138,1.2657205442445365,359.82,352.74,1.23,0.29,359.38,353.6,2.2,2.19,8465.584154000659,-278
6,20.339235438953757,1.8425221811016896,364.38,362.3,1.31,1.3,371.29,364.8,19.07,13.63,4618.934893505556,-12
233,17.838420078987863,1.6646163083674774,362.61,331.5,1.47,0.77,361.33,332.18,5.54,5.77,6550.794498927775,-466
4,4.939022697435409,0.6900146988813665,353.49,357.46,0.68,0.1,344.76,344.95,38.6,60.24,6994.876144426498,-8
373,1.2070688432087766,1.6955457523485031,350.85,344.28,1.62,0.49,350.29,345.57,3.0,4.21,11309.869947499841,-746
150,14.702926534417463,0.9144686792965394,339.6,353.17,0.87,0.29,336.55,356.18,16.28,13.07,6666.147714452106,-300
102,1.4806330939384051,1.7635739583639687,348.95,345.84,1.54,0.86,348.03,345.3,5.58,4.74,7043.77553608083,-204
216,14.313732195178705,1.3331177442730267,360.12,392.87,0.59,1.2,319.73,370.54,213.79,113.19,6936.71582392557,-432
114,3.3336232892316007,1.2946726679401717,352.36,355.92,0.77,1.04,352.9,356.18,2.6,2.17,9221.084125844458,-228
267,15.496152943270301,1.5634741692673462,360.96,352.14,1.12,1.09,350.27,383.73,35.68,98.77,10054.519849522107,-534
377,8.307433317552475,1.6276592330963076,355.87,342.58,1.6,0.29,335.39,301.81,68.15,159.33,7122.505059430896,-754
23,11.726252625455803,0.5662058842998136,341.71,306.28,0.08,0.56,340.52,306.04,3.04,1.62,5940.3153493257405,-46
191,21.6373853623958,1.9881701847084752,365.3,328.11,1.64,1.12,366.05,327.46,3.88,3.39,10946.716632069749,-382
49,18.281233428675755,1.5576918364648904,362.93,352.72,0.62,1.43,358.66,348.25,24.81,25.02,7452.9907670224675,-98
115,43.10230193522942,1.2090846394610117,319.52,312.61,0.77,0.93,326.87,316.36,22.98,9.87,5874.590836788333,-230
24,40.35923619541994,0.9914172776205579,378.54,375.71,0.39,0.91,379.9,376.56,12.81,6.24,7237.404737907492,-48
100,0.05844596609905204,1.5094199861979127,349.96,353.81,0.99,1.14,349.59,354.39,2.4,6.46,9693.178650792317,-200
109,10.434420977524228,1.2530492889579412,342.62,360.29,0.93,0.84,344.0,361.82,6.71,8.38,10151.122097338328,-218
677,3.8526021202106633,1.3851744940959596,347.28,340.45,0.44,1.31,349.38,341.63,7.0,13.48,8481.49716722065,-1354
179,21.880544234290504,1.236397557426565,334.53,350.33,1.09,0.58,278.65,334.63,199.78,44.27,7244.7344945709265,-358
151,15.299029886125613,0.9973390371640979,339.18,369.14,0.3,0.95,338.73,368.2,6.23,4.47,10313.125321601327,-302
853,26.423525823541258,1.9941759681018723,368.68,334.5,1.75,0.96,358.03,329.0,44.01,24.47,6391.672913656368,-1706
132,62.461211318749235,1.5348699218782391,394.17,406.6,1.35,0.73,393.45,404.98,9.51,10.91,6030.585667194691,-264
309,10.42889144265882,0.8175937151417058,342.63,357.88,0.78,0.24,350.4,355.05,42.24,19.39,10056.621921114089,-618
95,2.3369981895384146,1.7853082463868992,351.65,338.41,1.68,0.6,352.69,336.38,6.31,7.81,9068.827637766854,-190
153,4.71183928147118,0.5209162430392306,346.67,363.63,0.27,0.44,346.09,363.52,1.34,0.84,8338.756331217994,-306
192,2.997080680459536,1.3521629439553993,347.88,347.88,0.99,0.92,348.68,347.5,1.4,3.96,9431.370692315633,-384
410,3.712373320903086,1.2691660957692257,352.63,354.71,0.84,0.95,352.56,354.65,1.83,3.24,8755.500791841949,-820
300,10.576200165218859,1.7741411425181015,342.52,357.99,1.51,0.94,383.59,410.36,211.09,267.41,7864.051186801531,-600
98,59.62605071530273,1.7584241880287421,307.84,350.95,0.89,1.52,314.45,347.65,12.34,7.87,11804.127559681345,-196
35,33.300958266738405,1.4617580459349981,326.45,331.32,1.34,0.58,326.44,332.73,5.14,10.8,7912.010467969991,-70
31,7.770406976695285,0.7376229278396738,344.51,347.8,0.66,0.34,344.42,347.47,2.04,2.76,6647.658892874117,-62
131,27.013895581063043,1.104384250090267,330.9,337.39,1.01,0.45,329.2,336.81,6.32,2.42,6645.064177412224,-262
11,12.572591769564003,0.9045256184421893,358.89,371.67,0.52,0.74,358.61,369.47,6.94,11.81,6393.422042760303,-22
50,4.868754226287086,1.4951236683276279,346.56,354.12,0.93,1.17,347.31,353.83,5.44,1.48,11284.85631105558,-100
48,10.552678922453863,1.7997723177453624,357.46,338.56,0.46,1.74,356.23,338.41,3.23,4.02,9477.95424105831,-96
248,33.50058370661765,1.783685717570744,373.69,342.35,1.71,0.5,388.64,352.36,52.51,37.41,6808.799264447329,-496
360,3.8923784702331514,0.7099730560125435,352.75,346.61,0.61,0.37,352.9,346.72,0.87,1.53,6644.059356879527,-720
