Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
2,0.7252985523750949,0.9031150057857172,349.49,350.26,0.42,0.8,351.43,353.63,6.87,8.89,1576.316522228856
4,3.0738222886656605,1.5169533029271658,352.17,350.5,0.56,1.41,351.7,349.73,5.01,3.92,1570.5904128724096
500,452.78271581941397,606.0369715095051,29.83,85.71,482.08,367.27,85.8,-43538.81,962.6,231147.18,2500.9145856455316
47,4.8785248665905865,1.8957918092141166,346.55,355.78,1.73,0.78,358.76,354.29,42.69,8.2,1407.8920146149126
25,1.4670779092161328,0.8045502316917182,351.04,353.18,0.6,0.54,350.99,353.23,0.83,0.68,1088.6473131154703
23,0.3407583296516924,1.3450711843455645,350.24,349.32,0.51,1.25,350.79,350.07,1.79,2.54,1524.734169678662
49,1.9043303584630091,1.6352902866193264,348.65,355.83,0.34,1.6,351.4,358.87,10.47,11.26,1493.4410341344933
63,2.214029602524719,0.5395370800681257,348.43,349.13,0.38,0.38,348.18,348.59,2.75,1.59,1400.7534274597006
308,9.249745609904311,1.7029703466076802,356.54,291.53,0.29,1.68,357.92,287.97,6.18,17.69,1859.3044175349623
24,2.8032040633374957,0.929895614326883,348.02,349.59,0.62,0.69,349.84,348.71,7.31,5.79,1249.0980495853416
4,5.399519533436227,0.635009559787744,346.18,356.1,0.52,0.37,345.91,357.99,2.33,4.83,1388.3374055318052
15,4.021087665887882,1.3322866818745471,352.84,346.87,0.92,0.96,351.11,346.92,7.88,2.44,1166.4367560385217
251,11.675577859094517,1.7787706843527264,358.26,345.23,1.36,1.14,358.71,344.29,2.78,6.94,1720.5616184437874
84,4.488120917911003,1.9702723977962746,353.17,341.37,0.56,1.89,346.54,355.55,25.28,27.99,1304.5718623229284
17,1.861921677856651,1.9222772568938973,348.68,347.96,1.03,1.62,347.0,345.02,8.82,7.29,1730.5472868840486
2,14.625359406917683,1.4532811349300132,339.66,344.39,1.21,0.8,344.47,336.74,9.36,54.11,1080.0705024012004
3,11.217236732169903,1.668875320432331,357.93,358.03,0.71,1.51,358.05,358.14,2.48,4.67,1226.9827826964615
9,1.5486981786564387,1.5024939033503208,351.1,347.9,1.29,0.78,355.21,353.71,22.72,32.53,1636.1059987542142
21,11.338474836652626,1.6771056455472697,341.98,348.29,1.51,0.74,340.83,348.26,2.55,1.06,1684.4377691957934
17,1.911637288229863,0.35007916298033837,351.35,349.08,0.29,0.2,351.49,349.13,0.69,0.44,1172.2909812759071
17,1.2834583650736116,1.632651912062493,350.91,349.99,0.84,1.4,348.09,350.58,7.46,6.03,1340.847700646664
45,0.018349065254191985,1.5487750618365845,350.01,347.84,0.76,1.35,350.53,347.94,2.75,2.2,1211.8680331227397
22,8.57925911071355,1.672972891374536,356.07,356.23,1.33,1.01,350.91,333.09,18.65,119.7,1530.5054888670684
30,3.2498215261492795,0.9286435571687387,347.7,358.76,0.58,0.73,347.99,360.21,2.49,5.92,1829.2600563778788
1,1.0789968665693321,1.8353052698392407,349.24,346.48,0.5,1.76,348.88,347.9,1.9,5.36,1436.0712889228441
26,5.317177543379055,1.6223399833806158,346.24,346.06,1.49,0.64,345.91,344.57,6.55,3.72,1336.7553602782289
4,3.8725317078190566,1.429469043988417,347.26,350.84,1.22,0.75,348.92,343.35,15.43,12.75,1572.14921792172
8,17.67304956057511,1.9937399995355989,337.5,347.08,1.42,1.4,337.17,345.56,11.9,16.5,1490.1095311461158
2,7.235834392122241,0.7985217235411279,355.12,352.6,0.44,0.66,355.0,351.55,1.84,2.36,1667.9018670451992
64,10.549858547783524,0.6095377845207982,357.46,348.9,0.34,0.51,355.73,352.32,3.11,10.54,1179.4135853567373
27,4.430833461778988,1.5689342702976432,353.13,348.78,1.26,0.93,352.7,348.27,4.19,3.97,1429.2723339292688
3,0.6839710741171658,1.4088902449318002,349.52,344.49,0.79,1.17,349.14,345.11,4.76,6.14,1711.6002105669306
14,15.957682484063472,1.4402034023505719,338.72,352.7,1.0,1.04,338.04,352.62,8.44,1.53,1293.0716130274373
6,8.856051970891022,0.4165934550969164,343.74,333.89,0.39,0.14,343.76,333.91,0.76,1.33,1285.5191759543632
3,14.034328101562647,1.6884740779789258,359.92,342.5,1.23,1.16,360.69,345.69,10.42,14.89,1233.83285500417
27,18.74976475427187,0.9628279098999206,336.74,345.62,0.48,0.83,336.46,346.21,1.26,3.1,1955.3898640295442
47,0.6665254807199811,0.40254445400608463,350.47,351.34,0.12,0.38,350.42,351.55,0.57,0.97,2045.22684496985
35,1.8917373156644675,1.909210395927521,348.66,338.05,0.46,1.85,348.87,336.88,1.74,5.31,983.3416490405187
59,12.178025139429714,0.28776558259541846,341.39,347.14,0.22,0.19,341.28,346.93,0.77,0.48,1927.395654457448
36,2.1429040804441883,1.995607270903669,348.48,348.49,0.9,1.78,348.5,347.83,6.33,3.68,1222.7654588006167
7,3.6325716872959366,1.5803694635512666,347.43,342.4,0.26,1.56,347.62,342.82,0.63,3.67,1937.183356402129
6,0.6512672613829291,1.476926706423868,350.46,350.61,1.43,0.39,349.0,351.08,9.67,7.27,1024.6604868226145
22,2.737798995383856,1.5572413337624367,351.94,344.75,1.55,0.18,351.67,349.73,4.02,19.53,1057.1283069658757
45,2.548521994066986,1.6153103741587616,351.8,348.39,0.97,1.29,351.46,348.49,5.06,4.41,953.2055072345079
41,3.6642823754943237,1.874873999308903,347.41,359.7,0.67,1.75,347.9,359.85,3.27,2.0,1330.8056598052076
28,9.565199104380575,1.8780741963179106,343.24,336.36,0.66,1.76,321.83,280.79,116.01,304.94,1454.4783220705913
6,3.883622924188446,1.8005871692267947,352.75,353.24,1.62,0.79,354.15,353.79,3.43,4.16,1286.4483516114376
27,20.003472907238688,1.5861242417512327,335.86,350.23,0.7,1.42,336.68,350.73,3.86,6.87,1280.6629944000294
28,5.9754984771586885,0.17532593076078026,345.77,347.08,0.14,0.1,345.53,346.97,1.43,0.57,1681.6830406668175
23,5.421283891995019,1.7869968911843834,353.83,346.74,1.13,1.39,353.65,347.02,3.35,5.18,1667.7195428054208
19,7.037279452641867,1.3983016453020298,354.98,342.31,1.21,0.71,359.69,342.52,27.04,3.4,984.7911555200575
78,0.009059680414991092,1.2192186080911378,350.01,348.46,0.56,1.08,352.57,341.98,10.67,29.19,1076.8946329610346
7,0.2863434485614681,1.5307489046406841,350.2,346.12,0.69,1.37,350.6,347.58,3.21,7.81,1504.4799536386938
7,13.198516594068806,0.7636845765270764,359.33,344.06,0.71,0.29,386.69,331.14,161.91,61.42,1359.354958152348
11,9.838873477377588,1.7884764867110785,343.04,336.41,1.27,1.26,338.27,336.29,43.21,19.45,1431.7304594164152
9,21.59774781623456,0.9512936077377814,365.27,350.16,0.95,0.08,365.95,350.46,2.39,1.82,1045.5622328812337
33,2.7303647729406006,1.1078962863021482,348.07,351.03,0.44,1.02,347.27,349.2,9.15,7.2,1743.7578001953157
24,0.6956991916926996,1.7468243968095185,350.49,348.69,1.7,0.4,350.2,348.48,3.49,1.93,1299.791049159176
24,18.316166181223927,1.2088975636118524,337.05,356.34,0.86,0.85,338.11,355.48,2.93,3.12,1490.8437753174362
1,0.39562389653615104,1.940172017602437,349.72,354.25,1.41,1.34,348.77,354.25,3.17,3.95,1559.1663465503727
65,1.2193704418645428,1.7328290961684187,349.14,348.93,1.13,1.32,349.4,348.17,1.35,10.08,1346.481343326724
4,4.040491451846166,0.6934119450007258,352.86,345.5,0.65,0.24,354.25,346.0,3.13,1.18,1433.360646871346
10,0.7814765723660019,1.2879687578985273,350.55,353.28,0.9,0.92,349.23,352.47,8.36,4.33,1280.724490234145
182,42.40879546695486,0.6968422114866752,320.01,307.56,0.26,0.65,315.96,302.2,13.17,16.68,1954.005078649247
