loss,accuracy,val_loss,val_accuracy
1.504689335823059,0.4415390193462372,1.4376323223114014,0.4617007076740265
1.365973949432373,0.48306792974472046,1.4399830102920532,0.466457724571228
1.2446452379226685,0.5247913002967834,1.4911994934082031,0.4540565609931946
1.0952773094177246,0.5817563533782959,1.6010410785675049,0.44007718563079834
0.9393847584724426,0.643237292766571,1.7834190130233765,0.4204881191253662
0.7977515459060669,0.698938250541687,2.1044323444366455,0.4153197109699249
0.6788755059242249,0.7457870841026306,2.3568241596221924,0.404130220413208
0.5789080858230591,0.7844288349151611,2.680562973022461,0.38875219225883484
0.497914582490921,0.8158751726150513,2.9673233032226562,0.39196839928627014
0.4310000240802765,0.8405506014823914,3.1695923805236816,0.3899339437484741
