film name,year,genre,rating,sentiment
Guardians of the Galaxy,2014,Comedy ,7,0.19942373892459278
Guardians of the Galaxy,2014,Comedy ,7,-0.004133508
Guardians of the Galaxy,2014,Comedy ,6,0.014518897822881667
Guardians of the Galaxy,2014,Comedy ,1,-0.288757732
Guardians of the Galaxy,2014,Comedy ,7,-0.098864541
Guardians of the Galaxy,2014,Comedy ,7,0.033843761156478816
Guardians of the Galaxy,2014,Comedy ,6,-0.119832945
Guardians of the Galaxy,2014,Comedy ,10,-0.111820395
Guardians of the Galaxy,2014,Comedy ,8,-0.049151435
Guardians of the Galaxy,2014,Comedy ,9,0.515891435
Guardians of the Galaxy,2014,Comedy ,10,0.19851396451293796
Guardians of the Galaxy,2014,Comedy ,10,0.009778778
Guardians of the Galaxy,2014,Comedy ,10,-0.064119333
Guardians of the Galaxy,2014,Comedy ,10,0.21821175552864516
Guardians of the Galaxy,2014,Comedy ,10,0.21339386499677532
Guardians of the Galaxy,2014,Comedy ,10,0.067746408
Guardians of the Galaxy,2014,Comedy ,10,0.754287601
Guardians of the Galaxy,2014,Comedy ,1,-0.179033622
Guardians of the Galaxy,2014,Comedy ,10,0.4446447500791031
Guardians of the Galaxy,2014,Comedy ,10,0.022381677
Guardians of the Galaxy,2014,Comedy ,1,-0.249955022
Guardians of the Galaxy,2014,Comedy ,1,-0.159612191
Guardians of the Galaxy,2014,Comedy ,Null,-0.176901959
Guardians of the Galaxy,2014,Comedy ,8,0.037398791974401234
Guardians of the Galaxy,2014,Comedy ,5,-0.034796508
Guardians of the Galaxy,2014,Comedy ,9,-0.205692463
Guardians of the Galaxy,2014,Comedy ,4,-0.449228467
Guardians of the Galaxy,2014,Comedy ,5,-0.133441324
Guardians of the Galaxy,2014,Comedy ,1,-0.138513816
Guardians of the Galaxy,2014,Comedy ,10,0.44271809760481445
Guardians of the Galaxy,2014,Comedy ,9,0.3157642661832059
Guardians of the Galaxy,2014,Comedy ,7,-0.091860179
Guardians of the Galaxy,2014,Comedy ,5,0.090910171
Guardians of the Galaxy,2014,Comedy ,2,-0.319022166
Guardians of the Galaxy,2014,Comedy ,3,-0.109128543
Guardians of the Galaxy,2014,Comedy ,8,0.006101619
Guardians of the Galaxy,2014,Comedy ,4,0.046018096
Guardians of the Galaxy,2014,Comedy ,8,0.3700184350824609
Guardians of the Galaxy,2014,Comedy ,6,-0.234055997
Guardians of the Galaxy,2014,Comedy ,10,0.1773493628095705
Guardians of the Galaxy,2014,Comedy ,8,0.579572662
Guardians of the Galaxy,2014,Comedy ,7,0.11189497530015732
Guardians of the Galaxy,2014,Comedy ,7,0.1420310303282534
