film name,year,genre,rating,sentiment
Guardians of the Galaxy,2014,Comedy ,10,0.7878245972229306
Guardians of the Galaxy,2014,Comedy ,9,2.014899512
Guardians of the Galaxy,2014,Comedy ,9,0.7164869649413985
Guardians of the Galaxy,2014,Comedy ,9,1.3472744049919012
Guardians of the Galaxy,2014,Comedy ,10,1.0057966235478406
Guardians of the Galaxy,2014,Comedy ,8,0.5076155723883479
Guardians of the Galaxy,2014,Comedy ,10,1.6379602027439466
Guardians of the Galaxy,2014,Comedy ,10,0.071708303
Guardians of the Galaxy,2014,Comedy ,9,-0.064574846
Guardians of the Galaxy,2014,Comedy ,Null,1.171065970663526
Guardians of the Galaxy,2014,Comedy ,8,1.0476470526556567
Guardians of the Galaxy,2014,Comedy ,9,0.8736964972365261
Guardians of the Galaxy,2014,Comedy ,10,0.8647401208481528
Guardians of the Galaxy,2014,Comedy ,8,1.3876974193061329
Guardians of the Galaxy,2014,Comedy ,10,0.18923831837931834
Guardians of the Galaxy,2014,Comedy ,4,-0.127487119
Guardians of the Galaxy,2014,Comedy ,5,0.3138994306777608
Guardians of the Galaxy,2014,Comedy ,4,-0.968409802
Guardians of the Galaxy,2014,Comedy ,1,-0.04719404
Guardians of the Galaxy,2014,Comedy ,1,-0.480562934
Guardians of the Galaxy,2014,Comedy ,1,-0.098467102
Guardians of the Galaxy,2014,Comedy ,1,0.076934976
Guardians of the Galaxy,2014,Comedy ,10,0.099233353
Guardians of the Galaxy,2014,Comedy ,1,-0.251402294
Guardians of the Galaxy,2014,Comedy ,10,0.264475153
Guardians of the Galaxy,2014,Comedy ,9,0.028874935158537975
Guardians of the Galaxy,2014,Comedy ,1,-0.011501416
Guardians of the Galaxy,2014,Comedy ,10,0.8723156957235912
Guardians of the Galaxy,2014,Comedy ,10,0.3819839356635809
Guardians of the Galaxy,2014,Comedy ,5,-0.191213385
Guardians of the Galaxy,2014,Comedy ,1,-0.890783304
Guardians of the Galaxy,2014,Comedy ,1,-0.225694716
Guardians of the Galaxy,2014,Comedy ,10,0.8464155089239371
Guardians of the Galaxy,2014,Comedy ,9,0.17910930812360934
Guardians of the Galaxy,2014,Comedy ,1,-0.698527563
Guardians of the Galaxy,2014,Comedy ,9,0.4717321037127061
Guardians of the Galaxy,2014,Comedy ,6,-0.474736008
Guardians of the Galaxy,2014,Comedy ,10,0.6194848719304407
Guardians of the Galaxy,2014,Comedy ,10,1.184756260523972
Guardians of the Galaxy,2014,Comedy ,3,-0.644836525
Guardians of the Galaxy,2014,Comedy ,7,0.12355824372552107
Guardians of the Galaxy,2014,Comedy ,1,-0.883499486
Guardians of the Galaxy,2014,Comedy ,3,-0.334561465
Guardians of the Galaxy,2014,Comedy ,1,0.37659586843909837
Guardians of the Galaxy,2014,Comedy ,2,-0.625805432
Guardians of the Galaxy,2014,Comedy ,3,-0.050697214
Guardians of the Galaxy,2014,Comedy ,4,-0.35374915
Guardians of the Galaxy,2014,Comedy ,9,0.6578933936082547
Guardians of the Galaxy,2014,Comedy ,Null,0.7232951802643887
Guardians of the Galaxy,2014,Comedy ,4,0.6327112428716926
Guardians of the Galaxy,2014,Comedy ,4,0.12523462592219653
Guardians of the Galaxy,2014,Comedy ,3,-0.172671312
Guardians of the Galaxy,2014,Comedy ,1,-0.139476658
Guardians of the Galaxy,2014,Comedy ,1,-0.165565284
Guardians of the Galaxy,2014,Comedy ,1,-0.507141521
Guardians of the Galaxy,2014,Comedy ,1,-0.293007579
Guardians of the Galaxy,2014,Comedy ,3,-0.155933096
Guardians of the Galaxy,2014,Comedy ,1,-0.122972629
Guardians of the Galaxy,2014,Comedy ,7,0.6198994463638724
Guardians of the Galaxy,2014,Comedy ,3,-0.131016897
Guardians of the Galaxy,2014,Comedy ,10,0.6500383085506741
